date,new_confirmed,cumulative_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_janssen
2021-05-05,44855,132721153,108142826,8516437
2021-04-25,40961,120373717,100031926,8079863
2021-05-25,24435,155394989,121801185,10381859
2021-05-01,50396,129013657,105947940,8318546
2021-05-08,38091,137216849,111094349,8844369
2021-03-19,61405,59214724,56941640,2025349
2021-05-21,27921,150342238,118904886,9944636
2021-05-13,37587,142692755,114354242,9352742
2021-05-16,17984,146558344,117131627,9654031
2021-05-30,9821,159412031,124520914,10776617
2021-06-15,11954,170482950,129501089,11666437
2021-03-22,55399,63693721,60275003,2406337
2021-05-28,25091,157783315,123479196,10621136
2021-06-09,22053,165715523,127513151,11296014
2021-03-27,63131,71246219,65811340,2982453
2021-04-10,68114,92355733,80944104,5382365
2021-04-22,65060,114844028,95913701,8018365
2021-06-12,11678,167978845,128444425,11457011
2021-03-17,57808,56499018,54643195,1766131
2021-04-06,61226,86855993,77285350,4299901
2021-04-03,67736,82986550,74713387,3840647
2021-03-20,60643,60849627,58294583,2163681
2021-06-14,11180,169612045,129191765,11606202
2021-04-29,59748,125540172,103474188,8166410
2021-06-18,9786,173280164,130656013,11871036
2021-04-11,53594,94715143,82622178,5972101
2021-03-23,59983,64679659,60913292,2489153
2021-04-24,56630,118628496,98778973,8058239
2021-04-14,74225,100891617,86221076,7517671
2021-03-31,69552,76891912,69930956,3307113
2021-05-23,13925,154119424,121125577,10265423
2021-05-06,44787,134116885,109041458,8627243
2021-03-28,47266,72981111,67249447,3090712
2021-05-03,32382,131030537,107155797,8409505
2021-05-07,45192,135725061,110124671,8739657
2021-04-27,51594,122669679,101463903,8097650
2021-03-25,67796,67555076,62877755,2734367
2021-06-20,9839,174521867,131213452,11986595
2021-05-14,40431,143680891,115127784,9431604
2021-03-29,61844,74338025,68177850,3155418
2021-06-26,8426,177321630,132335894,12213560
2021-06-01,20641,160309262,125016707,10858664
2021-04-16,75086,105070417,89199649,7848027
2021-05-17,23942,146288690,116798390,9637126
2021-04-08,76573,90256586,79551820,4917225
2021-04-05,63035,86041963,76791212,4204015
2021-04-30,53619,127133399,104613893,8231139
2021-04-15,72382,102877491,87539652,7736781
2021-05-19,29296,149068615,118181211,9836616
2021-04-23,61884,116754631,97353734,8040727
2021-06-04,17729,161890897,125990795,11014773
2021-03-26,71388,69368232,64313721,2863246
2021-06-21,13790,174943983,131372107,12015721
2021-06-02,15989,160601395,125201557,10889478
2021-05-11,34676,140760689,112990115,9188411
2021-03-18,58402,57876875,55811286,1911052
2021-05-24,22239,154856445,121500687,10323402
2021-03-16,52164,55393141,53647312,1569675
2021-03-21,39024,62529418,59518840,2298614
2021-06-16,11767,171175575,129788011,11714877
2021-06-13,8197,168784549,128785935,11517956
2021-06-10,13304,166351326,127759347,11346781
2021-05-20,28743,150342238,118904886,9944636
2021-06-17,14796,172556760,130359975,11812739
2021-05-12,35093,141636737,113582961,9266062
2021-03-30,62561,75386890,68858013,3215657
2021-06-06,15410,163512789,126756059,11143068
2021-06-19,7045,173968342,130974892,11931392
2021-05-04,44514,131657484,107477821,8449067
2021-04-09,80567,92355733,80944104,5382365
2021-05-26,24462,156197160,122339269,10463078
2021-06-23,14239,175773690,131761409,12090161
2021-06-03,18568,161050513,125508313,10939901
2021-06-07,13739,164371746,127058512,11194685
2021-04-18,53170,109122092,92181455,7935549
2021-04-28,54600,123980028,102356935,8124392
2021-05-15,30732,145007116,116066454,9558399
2021-04-12,57801,97978125,84694388,6859877
2021-05-31,3678,159412031,124520914,10776617
2021-04-01,74707,78717917,71338865,3429880
2021-05-22,21034,153075845,120493252,10163242
2021-04-26,28756,121674501,100830533,8087269
2021-05-10,22334,139838655,112529278,9038423
2021-03-24,65751,65995871,61719260,2622182
2021-04-04,41253,84810406,76038933,4054089
2021-06-11,12354,166905188,127990366,11383522
2021-04-02,64869,80845236,72997571,3617377
2021-06-27,5558,178171003,132647393,12256008
2021-04-19,44409,110461905,93002433,7949021
2021-04-17,70121,107083884,90718986,7902746
2021-05-09,27426,138657097,111933191,8933802
2021-04-20,59744,110461905,93002433,7949021
2021-05-18,29792,147961277,117620781,9751200
2021-04-07,76069,88463874,78315776,4544552
2021-06-22,12874,175373929,131557233,12047571
2021-04-13,77231,99453295,85435687,7233726
2021-06-24,15239,176285416,132013506,12139564
2021-06-25,12370,176721071,132058604,12169305
2021-05-27,22401,157023465,122947136,10539494
2021-05-29,12677,158708623,124067556,10710816
2021-06-05,11608,162606119,126359399,11077735
2021-05-02,37543,129013657,105947940,8318546
2021-04-21,63523,113104771,94684047,7993255
2021-06-08,16551,165140239,127310797,11245388
